Depth (m),EDC3_gas_a (yr),CO2 (ppmv),sigma (ppmv),Depth (m).1,EDC3_gas_a (yr).1,CO2 (ppmv).1,Depth (m).2,tentatively synchronized on EDC3_gas_a (yr),CO2 (ppmv).2,sigma (ppmv).1,Depth (m).3,EDC3_gas_a (yr).2,CO2 (ppmv).3,sigma (ppmv).2,Depth (m).4,EDC3_gas_a (yr).3,CO2 (ppmv).4,Depth (m).5,EDC3_gas_a (yr).4,CO2 (ppmv).5,sigma (ppmv).3,Depth (m).6,EDC3_gas_a (yr).5,CO2 (ppmv).6
292.0,6838.0,262.3,0.9,1807.0,125262,273.0,467.78,61239.0,204.6,0.4,2833.02,478124.0,231.3,1.0,,,,3093.7,692990.0,234.8,1.5,,,
294.75,6941.0,263.0,0.7,1810.0,125434,277.1,470.18,62751.0,197.4,0.5,2833.66,478721.0,220.8,0.7,,,,3094.45,693433.0,234.1,1.5,,,
297.52,7028.0,260.7,0.6,1825.7,126347,273.7,470.92,63205.0,203.6,1.0,2834.12,479144.0,218.8,2.3,,,,3094.8,693639.0,234.1,1.3,,,
299.72,7112.0,258.4,0.8,1830.0,126598,267.1,,,,,2835.22,480108.0,223.8,1.4,,,,3095.53,694068.0,235.4,1.0,,,
303.0,7234.0,260.1,0.6,1836.0,126886,262.5,,,,,2836.32,481035.0,223.4,1.7,,,,3095.92,694300.0,234.4,1.1,,,
305.75,7320.0,260.4,0.4,1841.6,127132,262.6,,,,,2837.43,481932.0,227.3,1.3,,,,3096.56,694672.0,235.8,1.3,,,
308.52,7413.0,259.7,0.9,1852.4,127622,275.3,,,,,2838.53,482803.0,231.4,1.1,,,,3097.02,694941.0,236.9,0.8,,,
311.26,7507.0,259.2,0.7,1859.0,127907,275.6,,,,,2839.62,483649.0,231.4,1.3,,,,3097.74,695383.0,236.7,1.9,,,
314.0,7590.0,260.8,1.4,1869.3,128344,274.0,,,,,2840.71,484465.0,231.2,1.2,,,,3098.13,695618.0,237.6,0.7,,,
316.75,7691.0,259.6,0.5,1870.0,128372,287.1,,,,,2841.81,485276.0,233.0,1.4,,,,3098.85,696062.0,234.6,1.0,,,
319.52,7781.0,259.3,0.9,1875.9,128609,286.8,,,,,2842.92,486043.0,232.9,1.2,,,,3099.22,696287.0,234.8,0.6,,,
322.27,7876.0,258.3,1.2,1882.5,128866,282.6,,,,,2844.02,486816.0,231.3,1.2,,,,3099.93,696717.0,235.4,0.8,,,
